"id"	"descripcion"	"estatus"
"HNL"	"Lempira"	"0"
"HRK"	"Kuna"	"0"
"HTG"	"Gourde"	"0"
"HUF"	"Florín"	"0"
"IDR"	"Rupia"	"0"
"ILS"	"Nuevo Shekel Israelí"	"0"
"INR"	"Rupia india"	"0"
"IQD"	"Dinar iraquí"	"0"
"IRR"	"Rial iraní"	"0"
"ISK"	"Corona islandesa"	"0"
"JMD"	"Dólar Jamaiquino"	"0"
"JOD"	"Dinar jordano"	"0"
"JPY"	"Yen"	"0"
"KES"	"Chelín keniano"	"0"
"KGS"	"Som"	"0"
"KHR"	"Riel"	"0"
"KMF"	"Franco Comoro"	"0"
"KPW"	"Corea del Norte ganó"	"0"
"KRW"	"Won"	"0"
"KWD"	"Dinar kuwaití"	"0"
"KYD"	"Dólar de las Islas Caimán"	"0"
"KZT"	"Tenge"	"0"
"LAK"	"Kip"	"0"
"LBP"	"Libra libanesa"	"0"
"LKR"	"Rupia de Sri Lanka"	"0"
"LRD"	"Dólar liberiano"	"0"
"LSL"	"Loti"	"0"
"LYD"	"Dinar libio"	"0"
"MAD"	"Dirham marroquí"	"0"
"MDL"	"Leu moldavo"	"0"
"MGA"	"Ariary malgache"	"0"
"MKD"	"Denar"	"0"
"MMK"	"Kyat"	"0"
"MNT"	"Tugrik"	"0"
"MOP"	"Pataca"	"0"
"MRO"	"Ouguiya"	"0"
"MUR"	"Rupia de Mauricio"	"0"
"MVR"	"Rupia"	"0"
"MWK"	"Kwacha"	"0"
"MXN"	"Peso Mexicano"	"1"
"MXV"	"México Unidad de Inversión (UDI)"	"0"
"MYR"	"Ringgit malayo"	"0"
"MZN"	"Mozambique Metical"	"0"
"NAD"	"Dólar de Namibia"	"0"
"NGN"	"Naira"	"0"
"NIO"	"Córdoba Oro"	"0"
"NOK"	"Corona noruega"	"0"
"NPR"	"Rupia nepalí"	"0"
"NZD"	"Dólar de Nueva Zelanda"	"0"
"OMR"	"Rial omaní"	"0"
"PAB"	"Balboa"	"0"
"PEN"	"Nuevo Sol"	"0"
"PGK"	"Kina"	"0"
"PHP"	"Peso filipino"	"0"
"PKR"	"Rupia de Pakistán"	"0"
"PLN"	"Zloty"	"0"
"PYG"	"Guaraní"	"0"
"QAR"	"Qatar Rial"	"0"
"RON"	"Leu rumano"	"0"
"RSD"	"Dinar serbio"	"0"
"RUB"	"Rublo ruso"	"0"
"RWF"	"Franco ruandés"	"0"
"SAR"	"Riyal saudí"	"0"
"SBD"	"Dólar de las Islas Salomón"	"0"
"SCR"	"Rupia de Seychelles"	"0"
"SDG"	"Libra sudanesa"	"0"
"SEK"	"Corona sueca"	"0"
"SGD"	"Dolar De Singapur"	"0"
"SHP"	"Libra de Santa Helena"	"0"
"SLL"	"Leona"	"0"
"SOS"	"Chelín somalí"	"0"
"SRD"	"Dólar de Suriname"	"0"
"SSP"	"Libra sudanesa Sur"	"0"
"STD"	"Dobra"	"0"
"SVC"	"Colon El Salvador"	"0"
"SYP"	"Libra Siria"	"0"
"SZL"	"Lilangeni"	"0"
"THB"	"Baht"	"0"
"TJS"	"Somoni"	"0"
"TMT"	"Turkmenistán nuevo manat"	"0"
"TND"	"Dinar tunecino"	"0"
"TOP"	"Pa'anga"	"0"
"TRY"	"Lira turca"	"0"
"TTD"	"Dólar de Trinidad y Tobago"	"0"
"TWD"	"Nuevo dólar de Taiwán"	"0"
"TZS"	"Shilling tanzano"	"0"
"UAH"	"Hryvnia"	"0"
"UGX"	"Shilling de Uganda"	"0"
"USD"	"Dolar americano"	"1"
"USN"	"Dólar estadounidense (día siguiente)"	"0"
"UYI"	"Peso Uruguay en Unidades Indexadas (URUIURUI)"	"0"
"UYU"	"Peso Uruguayo"	"0"
"UZS"	"Uzbekistán Sum"	"0"
"VEF"	"Bolívar"	"0"
"VND"	"Dong"	"0"
"VUV"	"Vatu"	"0"
"WST"	"Tala"	"0"
"XAF"	"Franco CFA BEAC"	"0"
"XAG"	"Plata"	"0"
"XAU"	"Oro"	"0"
"XBA"	"Unidad de Mercados de Bonos Unidad Europea Composite (EURCO)"	"0"
"XBB"	"Unidad Monetaria de Bonos de Mercados Unidad Europea (UEM-6)"	"0"
"XBC"	"Mercados de Bonos Unidad Europea unidad de cuenta a 9 (UCE-9)"	"0"
"XBD"	"Mercados de Bonos Unidad Europea unidad de cuenta a 17 (UCE-17)"	"0"
"XCD"	"Dólar del Caribe Oriental"	"0"
"XDR"	"DEG (Derechos Especiales de Giro)"	"0"
"XOF"	"Franco CFA BCEAO"	"0"
"XPD"	"Paladio"	"0"
"XPF"	"Franco CFP"	"0"
"XPT"	"Platino"	"0"
"XSU"	"Sucre"	"0"
"XTS"	"Códigos reservados específicamente para propósitos de prueba"	"0"
"XUA"	"Unidad ADB de Cuenta"	"0"
"XXX"	"Los códigos asignados para las transacciones en que intervenga ninguna moneda"	"0"
"YER"	"Rial yemení"	"0"
"ZAR"	"Rand"	"0"
"ZMW"	"Kwacha zambiano"	"0"
"ZWL"	"Zimbabwe Dólar"	"0"
